negative,neutral,positive,open,high,low,close,volume,ema_5,ema_20,ema_50,macd,signal,histogram,bb_upper,bb_lower,bb_middle,ATR,donchian_upper,donchian_lower,donchian_middle,obv,vwap,day_number,treasury_yield_10y,gold,sp_500,nasdaq,volatility_index,dollar_index,wti,target
-0.5960796871542096,0.16892832974163224,-0.1375985688860784,-0.501612127333729,-0.4296051384732169,-0.4910418470403482,-0.4241275578950048,-0.7138130623037542,-0.41844189437962165,-0.3774625142251408,-0.4943275989753789,0.14010378723374023,0.6420536727880423,-1.6908572701207731,-0.20010360248546022,-0.4357229672898354,-0.3055842277963128,0.7145981352957116,-0.19140331321818646,-0.4610365659115781,-0.31003115825832633,-1.350783023162865,-0.30951955911814727,1.500486322181277,0.15751389858661116,-1.3191573878246696,-1.269354806062236,-1.3708896259552532,-1.218832146400976,-1.005225658575926,-0.2881350270646164,0.0
-0.4723525512837546,-0.30191933188240255,-0.8239231474473374,-0.4264656096758542,-0.445606368779741,-0.46560003072505507,-0.45502429551082874,-0.8106383253090406,-0.43069804680601714,-0.3848999923568257,-0.4927990886764817,0.045066105675488057,0.5227291000920783,-1.6246271289556675,-0.20602714999354463,-0.4546285150751515,-0.3172900809908725,0.6603632082904217,-0.19140331321818646,-0.4610365659115781,-0.31003115825832633,-1.365586928512397,-0.31099657869595276,-1.4995140323240397,0.15751389858661116,-1.3191573878246696,-1.269354806062236,-1.3708896259552532,-1.218832146400976,-1.005225658575926,-0.2881350270646164,1.0
1.1361002150321604,1.9177910729166185,0.274196178250677,-0.456610853051705,-0.3652141584362709,-0.4650327119441016,-0.37302298632058983,-0.46663067649923257,-0.4114758705908473,-0.38374198121856345,-0.48802636435880664,0.05968138825922413,0.43034349005668215,-1.2563330920186695,-0.20946927373111002,-0.4602838941077634,-0.3217320244213967,0.7009931172628691,-0.19140331321818646,-0.4610365659115781,-0.31003115825832633,-1.3413530709735508,-0.3083062105109037,-0.9995139732398202,0.2173257602599049,-1.290145658687037,-1.236484493768611,-1.3330682388748827,-1.3776073504861974,-1.0572534032857348,-0.2907438688833238,1.0
-0.34862541541329956,1.2451515563108546,0.8232558410996842,-0.37288233730720904,-0.35747901763775286,-0.35787887531885837,-0.35947469848607055,-0.46530301041451894,-0.3941352136244151,-0.3813911375747529,-0.48289489184208834,0.08484248216738133,0.36172716199974936,-0.9313731102538223,-0.21375967504037827,-0.4644168376697814,-0.3259774283581229,0.6282842218845703,-0.19140331321818646,-0.4610365659115781,-0.31003115825832633,-1.3170828193959512,-0.3049751512186652,-0.49951391415560076,0.19938229682640127,-1.280344269496362,-1.210943316552718,-1.3116454921520095,-1.4551197900307136,-0.9975177900957503,-0.22499994041741264,1.0
1.8784630302548904,1.985055024577195,0.5487260096751806,-0.3547840611318872,-0.3474088456098155,-0.37842480463653255,-0.3348291012514012,-0.20757280737454742,-0.37434179151676644,-0.37689368847933297,-0.47697158539559453,0.13017001619624546,0.3163678885883649,-0.6134160066118532,-0.2256471197789309,-0.4641289815038121,-0.3325423870570358,0.5955634559607531,-0.19140331321818646,-0.4610365659115781,-0.31003115825832633,-1.285747656614145,-0.2991539902877854,0.0004861449286186925,0.2053635305279729,-1.2677982041822242,-1.194759935625715,-1.3071218338816226,-1.4463683163366963,-1.0572534032857348,-0.20517258336173852,1.0
0.8886459432912504,0.5725120397050907,1.5095804196609433,-0.3420069875243523,-0.2288176714811089,-0.33503802231622126,-0.22154730898703134,-0.09959094706849671,-0.3233038315897326,-0.3619287491911384,-0.4667159960581251,0.28815092233409983,0.31330876393730944,-0.035112649267629616,-0.24986956265713686,-0.44787757139528767,-0.338983379323446,0.6565690755652295,-0.19140331321818646,-0.4610365659115781,-0.31003115825832633,-1.2514524905198479,-0.28453022589636207,0.5004862040128382,0.22829143460318996,-1.2642696083568898,-1.166390850951716,-1.2856917722311578,-1.4463683163366963,-1.0379844671480822,-0.23491381798712227,1.0
-0.8435339588951195,0.23619228140220866,0.1369312625384252,-0.21919243102542035,-0.22838317855204843,-0.23547659556767056,-0.21551279228245143,-0.3895944465624171,-0.287262664703114,-0.3478086223753832,-0.4566194322578198,0.41477772466404106,0.337495015883216,0.3373705031535178,-0.2699230750457256,-0.4337324556692693,-0.3440099649359263,0.6026454554899151,-0.23104912550942497,-0.4610365659115781,-0.3325569269520661,-1.225106912594369,-0.27371328739963624,1.0004862630970577,0.22829143460318996,-1.2642696083568898,-1.166390850951716,-1.2856917722311578,-1.4463683163366963,-1.0379844671480822,-0.23491381798712227,0.0
-0.34862541541329956,0.5725120397050907,-0.2748634845983302,-0.215158144476537,-0.23639590223486323,-0.278627498280714,-0.2804627839441873,-0.5180895995997781,-0.2849320873254719,-0.34128037526085137,-0.4495359030181838,0.4374173023504511,0.36160582418961584,0.33633908101209203,-0.3015190375269292,-0.4121063660463795,-0.3522223129632274,0.591272841497788,-0.24171700846398822,-0.4610365659115781,-0.3386181538509153,-1.2479301759611652,-0.2680004236366165,1.500486322181277,0.22829143460318996,-1.2642696083568898,-1.166390850951716,-1.2856917722311578,-1.4463683163366963,-1.0379844671480822,-0.23491381798712227,0.0
3.7343700683117156,1.1106236529897018,1.5095804196609433,-0.2801944739344423,-0.2992483035677643,-0.3984416389998204,-0.3613872002645794,-0.3843835170458086,-0.3104115721628319,-0.34315744485643274,-0.4459909225844324,0.36077893410980727,0.3647750403300136,0.050037651521840906,-0.3226510395275026,-0.40357385333428386,-0.36034121849742384,0.6403016052422065,-0.3103573583328187,-0.4610365659115781,-0.37761790073072243,-1.2744185961065002,-0.26615009839650505,-1.4995140323240397,0.23227884451383396,-1.2709348401566227,-1.159639009522277,-1.2780806792784973,-1.408862324124764,-0.964760451649189,-0.21978225677999783,0.0
1.2598273509026154,0.23619228140220866,1.9213751667976988,-0.3638796050558951,-0.3620223382617109,-0.3846848589168282,-0.39695675960463983,-0.4764229057305882,-0.3392800833002648,-0.3482769441653571,-0.4440181985798942,0.2570559920732409,0.3454942551705182,-0.2568858819548633,-0.33289626019377183,-0.40482181870006073,-0.3666616662976315,0.5964803744225496,-0.32263203467321705,-0.4610365659115781,-0.38459206783828953,-1.2983840286443387,-0.2662824655297822,-0.9995139732398202,0.29807193988869934,-1.297986770039577,-1.154338174169386,-1.275818939349738,-1.3388512499422016,-0.9262225793738865,-0.15560379263880886,1.0
