,date,negative,neutral,positive,open,high,low,close,volume
1214,2018-01-10,12,35,22,14588.5,14973.2998046875,13691.2001953125,14973.2998046875,18500800512.0
1215,2018-01-11,44,46,21,14968.2001953125,15018.7998046875,13105.900390625,13405.7998046875,16534099968.0
1216,2018-01-12,8,44,9,13453.900390625,14229.900390625,13158.099609375,13980.599609375,12065699840.0
1217,2018-01-13,3,35,4,13952.400390625,14659.5,13952.400390625,14360.2001953125,12763599872.0
1218,2018-01-14,4,36,2,14370.7998046875,14511.7998046875,13268.0,13772.0,11084099584.0
1219,2018-01-15,6,37,3,13767.2998046875,14445.5,13641.7001953125,13819.7998046875,12750799872.0
1220,2018-01-16,32,52,9,13836.099609375,13843.099609375,10194.900390625,11490.5,18853799936.0
1221,2018-01-17,39,48,18,11431.099609375,11678.0,9402.2900390625,11188.599609375,18830600192.0
1222,2018-01-18,19,39,14,11198.7998046875,12107.2998046875,10942.5,11474.900390625,15020399616.0
1223,2018-01-19,19,33,10,11429.7998046875,11992.7998046875,11172.099609375,11607.400390625,10740400128.0
1224,2018-01-20,2,33,7,11656.2001953125,13103.0,11656.2001953125,12899.2001953125,11801700352.0
1225,2018-01-21,5,33,8,12889.2001953125,12895.900390625,11288.2001953125,11600.099609375,9935179776.0
1226,2018-01-22,14,47,11,11633.099609375,11966.400390625,10240.2001953125,10931.400390625,10537400320.0
1227,2018-01-23,12,35,5,10944.5,11377.599609375,10129.7001953125,10868.400390625,9660609536.0
1228,2018-01-24,11,20,3,10903.400390625,11501.400390625,10639.7998046875,11359.400390625,9940989952.0
1229,2018-01-25,8,29,9,11421.7001953125,11785.7001953125,11057.400390625,11259.400390625,8873169920.0
1230,2018-01-26,13,28,9,11256.0,11656.7001953125,10470.2998046875,11171.400390625,9746199552.0
1231,2018-01-27,3,24,4,11174.900390625,11614.900390625,10989.2001953125,11440.7001953125,7583269888.0
1232,2018-01-28,5,22,5,11475.2998046875,12040.2998046875,11475.2998046875,11786.2998046875,8350360064.0
1233,2018-01-29,14,40,12,11755.5,11875.599609375,11179.2001953125,11296.400390625,7107359744.0
1234,2018-01-30,16,62,28,11306.7998046875,11307.2001953125,10036.2001953125,10106.2998046875,8637859840.0
1235,2018-01-31,31,36,8,10108.2001953125,10381.599609375,9777.419921875,10221.099609375,8041160192.0
1236,2018-02-01,34,36,10,10237.2998046875,10288.7998046875,8812.2802734375,9170.5400390625,9959400448.0
1237,2018-02-02,24,41,6,9142.2802734375,9142.2802734375,7796.490234375,8830.75,12726899712.0
1238,2018-02-03,7,26,4,8852.1201171875,9430.75,8251.6298828125,9174.91015625,7263790080.0
1239,2018-02-04,4,20,6,9175.7001953125,9334.8701171875,8031.2202148438,8277.009765625,7073549824.0
1240,2018-02-05,39,43,6,8270.5400390625,8364.83984375,6756.6801757813,6955.2700195313,9285289984.0
1241,2018-02-06,18,47,18,7051.75,7850.7001953125,6048.259765625,7754.0,13999800320.0
1242,2018-02-07,9,49,12,7755.490234375,8509.1103515625,7236.7900390625,7621.2998046875,9169280000.0
1243,2018-02-08,14,38,12,7637.8598632813,8558.76953125,7637.8598632813,8265.58984375,9346750464.0
1244,2018-02-09,9,28,10,8271.83984375,8736.98046875,7884.7099609375,8736.98046875,6784820224.0
1245,2018-02-10,6,19,3,8720.080078125,9122.5498046875,8295.4697265625,8621.900390625,7780960256.0
1246,2018-02-11,4,13,4,8616.1298828125,8616.1298828125,7931.1000976563,8129.9702148438,6122189824.0
1247,2018-02-12,5,25,4,8141.4301757813,8985.919921875,8141.4301757813,8926.5703125,6256439808.0
1248,2018-02-13,15,27,9,8926.7197265625,8958.4697265625,8455.41015625,8598.3095703125,5696719872.0
1249,2018-02-14,13,41,13,8599.919921875,9518.5400390625,8599.919921875,9494.6298828125,7909819904.0
1250,2018-02-15,10,31,14,9488.3203125,10234.7998046875,9395.580078125,10166.400390625,9062540288.0
1251,2018-02-16,9,23,4,10135.7001953125,10324.099609375,9824.8203125,10233.900390625,7296159744.0
1252,2018-02-17,3,21,5,10207.5,11139.5,10149.400390625,11112.7001953125,8660880384.0
1253,2018-02-18,1,15,6,11123.400390625,11349.7998046875,10326.0,10551.7998046875,8744009728.0
1254,2018-02-19,2,27,6,10552.599609375,11273.7998046875,10513.2001953125,11225.2998046875,7652089856.0
1255,2018-02-20,7,23,10,11231.7998046875,11958.5,11231.7998046875,11403.7001953125,9926540288.0
1256,2018-02-21,8,26,9,11372.2001953125,11418.5,10479.099609375,10690.400390625,9405339648.0
1257,2018-02-22,13,29,7,10660.400390625,11039.099609375,9939.08984375,10005.0,8040079872.0
1258,2018-02-23,6,16,2,9937.0703125,10487.2998046875,9734.5595703125,10301.099609375,7739500032.0
1259,2018-02-24,2,23,4,10287.7001953125,10597.2001953125,9546.9697265625,9813.0703125,6917929984.0
1260,2018-02-25,6,18,2,9796.419921875,9923.2197265625,9407.0595703125,9664.73046875,5706939904.0
1261,2018-02-26,5,24,3,9669.4296875,10475.0,9501.73046875,10366.7001953125,7287690240.0
1262,2018-02-27,1,23,6,10393.900390625,10878.5,10246.099609375,10725.599609375,6966179840.0
1263,2018-02-28,5,18,5,10687.2001953125,11089.7998046875,10393.099609375,10397.900390625,6936189952.0
1264,2018-03-01,3,15,2,10385.0,11052.2998046875,10352.7001953125,10951.0,7317279744.0
1265,2018-03-02,9,28,13,10977.400390625,11189.0,10850.099609375,11086.400390625,7620590080.0
1266,2018-03-03,4,14,5,11101.900390625,11528.2001953125,11002.400390625,11489.7001953125,6690570240.0
1267,2018-03-04,1,20,5,11497.400390625,11512.599609375,11136.099609375,11512.599609375,6084149760.0
1268,2018-03-05,13,19,10,11532.400390625,11704.099609375,11443.900390625,11573.2998046875,6468539904.0
1269,2018-03-06,9,22,1,11500.099609375,11500.099609375,10694.2998046875,10779.900390625,6832169984.0
1270,2018-03-07,12,21,2,10803.900390625,10929.5,9692.1201171875,9965.5703125,8797910016.0
1271,2018-03-08,12,13,3,9951.4404296875,10147.400390625,9335.8701171875,9395.009765625,7186089984.0
1272,2018-03-09,11,31,7,9414.6904296875,9466.349609375,8513.0302734375,9337.5498046875,8704190464.0
1273,2018-03-10,2,21,4,9350.58984375,9531.3203125,8828.4697265625,8866.0,5386319872.0
1274,2018-03-11,3,20,1,8852.7802734375,9711.8896484375,8607.1201171875,9578.6298828125,6296370176.0
1275,2018-03-12,6,30,7,9602.9296875,9937.5,8956.4296875,9205.1201171875,6457399808.0
1276,2018-03-13,7,16,2,9173.0400390625,9470.3798828125,8958.1904296875,9194.849609375,5991139840.0
1277,2018-03-14,17,26,3,9214.650390625,9355.849609375,8068.58984375,8269.8095703125,6438230016.0
1278,2018-03-15,19,27,3,8290.759765625,8428.349609375,7783.0498046875,8300.8603515625,6834429952.0
1279,2018-03-16,5,15,3,8322.91015625,8585.150390625,8005.3100585938,8338.349609375,5289379840.0
1280,2018-03-17,3,7,1,8321.91015625,8346.5302734375,7812.8198242188,7916.8798828125,4426149888.0
1281,2018-03-18,5,19,1,7890.5200195313,8245.509765625,7397.990234375,8223.6796875,6639190016.0
1282,2018-03-19,7,20,7,8344.1201171875,8675.8701171875,8182.3999023438,8630.650390625,6729110016.0
1283,2018-03-20,7,19,8,8619.669921875,9051.01953125,8389.8896484375,8913.4697265625,6361789952.0
1284,2018-03-21,5,26,10,8937.48046875,9177.3701171875,8846.330078125,8929.2802734375,6043129856.0
1285,2018-03-22,6,23,4,8939.4404296875,9100.7099609375,8564.900390625,8728.4697265625,5530390016.0
1286,2018-03-23,4,22,4,8736.25,8879.6201171875,8360.6201171875,8879.6201171875,5954120192.0
1287,2018-03-24,2,13,4,8901.9501953125,8996.1796875,8665.7001953125,8668.1201171875,5664600064.0
1288,2018-03-25,4,17,2,8612.8095703125,8682.009765625,8449.099609375,8495.7802734375,4569880064.0
1289,2018-03-26,8,15,10,8498.4697265625,8530.080078125,7921.4301757813,8209.400390625,5921039872.0
1290,2018-03-27,7,22,3,8200.0,8232.7802734375,7797.2797851563,7833.0400390625,5378250240.0
1291,2018-03-28,7,25,5,7836.830078125,8122.8901367188,7809.169921875,7954.4799804688,4935289856.0
1292,2018-03-29,9,9,3,7979.0698242188,7994.330078125,7081.3798828125,7165.7001953125,6361229824.0
1293,2018-03-30,5,8,4,7171.4501953125,7276.66015625,6683.9301757813,6890.5200195313,6289509888.0
1294,2018-03-31,4,10,3,6892.4799804688,7207.8500976563,6863.5200195313,6973.5297851563,4553269760.0
1295,2018-04-01,1,16,4,7003.0600585938,7060.9501953125,6526.8701171875,6844.2299804688,4532100096.0
1296,2018-04-02,13,18,3,6844.8598632813,7135.4702148438,6816.580078125,7083.7998046875,4333440000.0
1297,2018-04-03,3,14,4,7102.259765625,7530.9399414063,7072.490234375,7456.1098632813,5499700224.0
1298,2018-04-04,5,14,8,7456.41015625,7469.8798828125,6803.8798828125,6853.83984375,4936000000.0
1299,2018-04-05,14,30,9,6848.6499023438,6933.8198242188,6644.7998046875,6811.4702148438,5639320064.0
1300,2018-04-06,11,33,6,6815.9599609375,6857.490234375,6575.0,6636.3198242188,3766810112.0
1301,2018-04-07,5,22,3,6630.509765625,7050.5400390625,6630.509765625,6911.08984375,3976610048.0
1302,2018-04-08,5,27,2,6919.9799804688,7111.5600585938,6919.9799804688,7023.5200195313,3652499968.0
1303,2018-04-09,8,21,8,7044.3198242188,7178.1098632813,6661.990234375,6770.7299804688,4894060032.0
1304,2018-04-10,3,14,5,6795.4399414063,6872.41015625,6704.1499023438,6834.759765625,4272750080.0
1305,2018-04-11,7,19,8,6843.4702148438,6968.3198242188,6817.58984375,6968.3198242188,4641889792.0
1306,2018-04-12,4,15,8,6955.3798828125,7899.2299804688,6806.509765625,7889.25,8906250240.0
1307,2018-04-13,7,18,6,7901.08984375,8183.9599609375,7758.9301757813,7895.9599609375,7764460032.0
1308,2018-04-14,4,12,2,7874.669921875,8140.7099609375,7846.0,7986.240234375,5191430144.0
1309,2018-04-15,3,15,4,7999.330078125,8338.419921875,7999.330078125,8329.1103515625,5244480000.0
1310,2018-04-16,4,17,1,8337.5703125,8371.150390625,7925.7299804688,8058.669921875,5631309824.0
1311,2018-04-17,3,16,2,8071.66015625,8285.9599609375,7881.7202148438,7902.08984375,6900879872.0
1312,2018-04-18,10,26,8,7944.4301757813,8197.7998046875,7886.009765625,8163.419921875,6529909760.0
1313,2018-04-19,9,20,12,8159.2700195313,8298.6904296875,8138.7797851563,8294.3095703125,7063209984.0
1314,2018-04-20,7,27,3,8286.8798828125,8880.23046875,8244.5400390625,8845.830078125,8438110208.0
1315,2018-04-21,8,14,5,8848.7900390625,8997.5703125,8652.150390625,8895.580078125,7548550144.0
1316,2018-04-22,6,30,8,8925.0595703125,9001.6396484375,8779.6103515625,8802.4599609375,6629899776.0
